"","site_code","Eco.Extr","Extreme","mean_DS3","n","sd","se","LowerCI","UpperCI","Sig","logAI"
"1","allmendb.ch","Grassland_NotExtreme","NotExtreme",-0.0276316912086024,3,0.0795230061407579,0.0459126290021349,-0.225177789714612,0.169914407297407,TRUE,0.165429689123736
"2","allmendo.ch","Grassland_NotExtreme","NotExtreme",0.317090164195778,3,0.202162160432694,0.116718377745772,-0.185108482423997,0.819288810815553,TRUE,0.165429689123736
"3","antelope.us","Grassland_NotExtreme","NotExtreme",-0.491130972228882,8,0.146380693706578,0.0517533905773563,-0.613508294690252,-0.368753649767512,FALSE,-1.60694103223551
"4","ayora.es","Shrubland_NotExtreme","NotExtreme",0.433346074610609,3,0.105377064115309,0.0608394763333862,0.171574935688237,0.69511721353298,FALSE,-0.714370817011572
"5","baddrt.de","Grassland_Extr","Extr",-0.178625407320712,5,0.450331703614295,0.20139446034097,-0.73778607094835,0.380535256306926,TRUE,-0.406165353222558
"6","bange.cn","Grassland_NotExtreme","NotExtreme",0.137055889271386,6,0.325616652100018,0.132932441566399,-0.204657830385984,0.478769608928756,TRUE,-0.807884858030369
"7","bayrdrt.de","Grassland_Extr","Extr",-0.250222341105967,5,0.226038596181298,0.101087533320001,-0.530886328188803,0.0304416459768692,TRUE,-0.169839779291899
"8","bfl.us","Grassland_Extr","Extr",-0.0578519368663638,3,0.49369095598122,0.285032606332241,-1.28424825856938,1.16854438483666,TRUE,-0.599110538633562
"9","biddulph.ca","Grassland_NotExtreme","NotExtreme",-0.761396705134586,3,0.818427619556802,0.472519406463344,-2.79448361921369,1.27169020894452,TRUE,-0.791421749828286
"10","bldrdrt.us","Grassland_Extr","Extr",-0.431409307809037,6,0.362737057023737,0.148086783417833,-0.812078503360729,-0.0507401122573457,FALSE,-0.947007704536216
"11","brokenh.au","Grassland_Extr","Extr",-1.66526288146885,2,0,0,-1.66526288146885,-1.66526288146885,FALSE,-1.67344324241001
"12","brookdale.ca","Grassland_Extr","Extr",-0.0133498087006588,5,0.171923732289485,0.0768866304689527,-0.226821317521334,0.200121700120016,TRUE,-0.496758366554555
"13","capmcd.us","Shrubland_NotExtreme","NotExtreme",0.0810722909494108,7,0.331220066690031,0.125189417956579,-0.225255179486482,0.387399761385304,TRUE,-1.67557771493865
"14","capwhite.us","Shrubland_NotExtreme","NotExtreme",-1.4400997474864,7,0.98546085973523,0.372469194521046,-2.35149903374637,-0.528700461226435,FALSE,-2.03332160606628
"15","cedarsav.us","Grassland_NotExtreme","NotExtreme",-0.34270678008246,5,0.350415504998724,0.156710577909413,-0.777805097051766,0.0923915368868459,TRUE,-0.174353387144778
"16","cedartrait.us","Grassland_NotExtreme","NotExtreme",-0.447648265944184,5,0.565939164747831,0.253095688701121,-1.15035455198508,0.255058020096707,TRUE,-0.177692288410292
"17","cerrillos.ar","Shrubland_Extr","Extr",-0.576552336199055,3,0.340973870790396,0.196861356087464,-1.42357838735096,0.270473714952852,TRUE,-1.3991769869509
"18","chacra.ar","Shrubland_NotExtreme","NotExtreme",-0.107679126474653,3,0.264095651255048,0.152475695343912,-0.763729093266581,0.548370840317275,TRUE,-1.26904480106965
"19","chang.cn","Grassland_NotExtreme","NotExtreme",-0.828952533462783,4,0.284096553277451,0.142048276638726,-1.28101354662361,-0.376891520301952,FALSE,-0.693147180559945
"20","charleville.au","Grassland_Extr","Extr",-0.231049059239858,3,0.400188712104259,0.231049060660044,-1.22517293079484,0.763074812315128,TRUE,-1.23580752784595
"21","chilcasdrt.ar","Grassland_Extr","Extr",-0.313814934791096,3,0.134735404399481,0.0777895219994137,-0.64851623396778,0.0208863643855867,TRUE,-0.311565012915113
"22","ciempoz.es","Shrubland_Extr","Extr",0.206551601603776,7,0.710849918241893,0.268676014736949,-0.450874922974466,0.863978126182018,TRUE,-0.980562621894295
"23","cobar.au","Grassland_Extr","Extr",-0.847874579618342,3,0.98167056097815,0.566767762636266,-3.28647944065927,1.59073028142258,TRUE,-1.41140706193497
"24","cowidrt.ca","Grassland_NotExtreme","NotExtreme",-0.374509427100429,5,0.582215397249895,0.260374641159562,-1.09742532506553,0.348406470864668,TRUE,0.438125890347713
"25","credoj.au","Shrubland_NotExtreme","NotExtreme",-0.447182182771994,5,0.414833568967046,0.185519211911832,-0.962266090604753,0.0679017250607653,TRUE,-1.76026080216868
"26","credom.au","Shrubland_NotExtreme","NotExtreme",-0.306307877513329,5,0.121791680033915,0.0544668951299476,-0.457532221892194,-0.155083533134465,FALSE,-1.76026080216868
"27","dang.cn","Grassland_Extr","Extr",0.0754942729069675,5,0.26402557702029,0.118075827603195,-0.252336780684101,0.403325326498037,TRUE,-0.914791855750419
"28","eea.br","Grassland_NotExtreme","NotExtreme",-0.116919048673315,5,0.484770438665185,0.216795930867549,-0.718841049757321,0.485002952410691,TRUE,0.059023340449461
"29","elvadrt.ee","Grassland_Extr","Extr",-0.347527951552126,3,0.162112110390863,0.0935954705730633,-0.750236758505502,0.0551808554012507,TRUE,0.0902976379807806
"30","esw.ca","Grassland_Extr","Extr",-0.225462043282954,3,0.589298519713786,0.340231658989803,-1.68936071958262,1.23843663301671,TRUE,0.0893835611346854
"31","falls.au","Grassland_NotExtreme","NotExtreme",0.0500115397510614,3,0.18322121011366,0.10578281498037,-0.405135177884812,0.505158257386934,TRUE,0.691295467196471
"32","freiburg.de","Grassland_NotExtreme","NotExtreme",-0.240812201407546,4,0.119329011546985,0.0596645057734923,-0.430691287362975,-0.0509331154521173,FALSE,0.0285874568519125
"33","gmgranite.us","Shrubland_NotExtreme","NotExtreme",0.383108679817934,7,0.221833387538565,0.0838451394168653,0.177947014517904,0.588270345117964,FALSE,-1.73386799081228
"34","gmmolar.us","Shrubland_NotExtreme","NotExtreme",0.314278227304241,7,0.415301765124747,0.156969312795177,-0.0698118444403583,0.698368299048841,TRUE,-1.7561992938295
"35","guaribas.br","Grassland_Extr","Extr",-0.683814267235793,3,0.476984316153122,0.275387023330235,-1.86870899490521,0.50108046043362,TRUE,-0.213936070563297
"36","haibei.cn","Grassland_NotExtreme","NotExtreme",-0.260727452882324,3,0.311139211698707,0.179636307629697,-1.03364010226735,0.512185196502704,TRUE,-0.41415273650573
"37","hard.us","Shrubland_NotExtreme","NotExtreme",0.109422914793368,3,0.290723807501798,0.167849468520996,-0.612775059125493,0.831620888712229,TRUE,-0.868453402459995
"38","hoide.de","Shrubland_NotExtreme","NotExtreme",-0.620506694031377,2,1.3862278861202,0.980211138545485,-13.0752701050692,11.8342567170065,TRUE,-0.076017486423916
"39","hong.cn","Grassland_NotExtreme","NotExtreme",-0.0253529320037207,4,0.533717525709986,0.266858762854993,-0.874616615884174,0.823910751876733,TRUE,-0.153151179494175
"40","hulun.cn","Grassland_Extr","Extr",-0.547846007229056,6,0.117515361248183,0.0479754453328138,-0.67117081555815,-0.424521198899961,FALSE,-0.679836166500273
"41","hyide.de","Shrubland_NotExtreme","NotExtreme",-1.21089109867077,3,1.66374441274702,0.960563284562228,-5.34386133708955,2.92207913974801,TRUE,-0.076017486423916
"42","jorndrt.us","Grassland_Extr","Extr",-0.106766736615295,3,0.157068607260681,0.090683602683194,-0.496946787243655,0.283413314013066,TRUE,-1.81400507817537
"43","jrnchi.us","Shrubland_NotExtreme","NotExtreme",-0.0724269379063446,10,0.367877371695427,0.116333039419391,-0.335590556299006,0.190736680486316,TRUE,-1.82635091399767
"44","kernb.ca","Grassland_NotExtreme","NotExtreme",-0.0257097156838612,3,0.209671198381762,0.121053722827022,-0.54656184665188,0.495142415284158,TRUE,-0.750140902080066
"45","kernnu.ca","Grassland_NotExtreme","NotExtreme",0.250364888322673,3,0.287291351283894,0.165867738999608,-0.46330639166136,0.964036168306705,TRUE,-0.750140902080066
"46","kinsella.ca","Grassland_NotExtreme","NotExtreme",-0.276595362204996,5,0.291009588534872,0.130143444413643,-0.637931491420838,0.0847407670108448,TRUE,-0.517850238702955
"47","kiskun.hu","Grassland_NotExtreme","NotExtreme",-0.0891619874029065,5,0.135162563575191,0.0604465360334529,-0.256988476499149,0.0786645016933358,TRUE,-0.52831093810701
"48","konzadrt.us","Grassland_NotExtreme","NotExtreme",-0.174706463849282,5,0.269066455244783,0.120330176878448,-0.508796594451034,0.159383666752469,TRUE,-0.3078847797693
"49","lygraint.no","Shrubland_NotExtreme","NotExtreme",0.57810357940956,3,0.228415184104666,0.131875568029827,0.0106888066387639,1.14551835218036,FALSE,1.52920351972349
"50","lygraold.no","Shrubland_NotExtreme","NotExtreme",-0.313681301347556,3,0.254490877646846,0.14693037671571,-0.945871687806524,0.318509085111413,TRUE,1.52991840120277
"51","lygrayng.no","Shrubland_NotExtreme","NotExtreme",0.373408781087951,3,0.158382404292889,0.0914421237533995,-0.020034922293702,0.766852484469603,TRUE,1.52920351972349
"52","marcdrt.ar","Grassland_NotExtreme","NotExtreme",-0.102223206440232,4,0.358310721562262,0.179155360781131,-0.672375522429912,0.467929109549448,TRUE,-0.286615974269783
"53","matador.ca","Grassland_NotExtreme","NotExtreme",-0.24634619448605,3,0.356551029967047,0.205854833131313,-1.13206805419061,0.639375665218513,TRUE,-0.857550236851555
"54","matta.il","Shrubland_Extr","Extr",-0.478499744181877,5,0.377616265103718,0.168875127636299,-0.947372265697332,-0.00962722266642241,FALSE,-1.06915057851849
"55","mattheis.ca","Grassland_Extr","Extr",-0.121849505674352,5,0.30107849819774,0.134646397706739,-0.495687837519743,0.251988826171039,TRUE,-0.968900682146452
"56","milparinka.au","Grassland_NotExtreme","NotExtreme",-0.00315142171318681,3,0.917475244123905,0.529704579169754,-2.28228627523872,2.27598343181235,TRUE,-2.01140913128801
"57","morient.ar","Shrubland_NotExtreme","NotExtreme",-0.64441352680626,2,0.0653305332821961,0.0461956631023743,-1.23138508010838,-0.057441973504141,FALSE,-1.59208927409949
"58","naposta.ar","Grassland_NotExtreme","NotExtreme",-1.94944437319013,3,0.452503198342585,0.261252843372258,-3.07352463288059,-0.825364113499675,FALSE,-0.661454733827456
"59","naqu.cn","Grassland_NotExtreme","NotExtreme",-0.222872510104915,6,0.347684505203703,0.141941604870186,-0.587745021305282,0.142000001095451,TRUE,-0.557218663335701
"60","nnss.us","Shrubland_NotExtreme","NotExtreme",-0.787529776114694,10,0.322557627183174,0.102001677855827,-1.01827360229369,-0.5567859499357,FALSE,-2.38271113747333
"61","nplatte.us","Shrubland_Extr","Extr",0.00246673808613271,8,0.640904899586198,0.226594100296542,-0.533343166742918,0.538276642915183,TRUE,-1.37357558871212
"62","nyngan.au","Grassland_Extr","Extr",-0.531838120597538,3,0.586789496203065,0.338783073590485,-1.98950403697455,0.925827795779473,TRUE,-1.19138568882046
"63","octc.us","Shrubland_Extr","Extr",-0.189615362605795,10,0.290347425864018,0.0918159178497178,-0.397317398828425,0.0180866736168362,TRUE,-1.398771882631
"64","oklah.us","Grassland_NotExtreme","NotExtreme",-0.233695433509328,3,0.249128670692414,0.143834505087119,-0.852565359454583,0.385174492435928,TRUE,-0.419766892819024
"65","oreaa.us","Shrubland_Extr","Extr",-0.327067705748503,5,0.353710415681163,0.158184106762557,-0.766257194689491,0.112121783192485,TRUE,-0.886489240637365
"66","oreac.us","Shrubland_Extr","Extr",-0.318585526558987,5,0.466998132875759,0.208847914095135,-0.898440295379194,0.26126924226122,TRUE,-0.888432403745759
"67","paike.ar","Grassland_NotExtreme","NotExtreme",-0.311608703850567,3,0.216995255917218,0.125282269416677,-0.850654802345441,0.227437394644308,TRUE,-1.22997460686494
"68","passogavia.it","Grassland_Extr","Extr",0.0598988503397917,5,0.0572473664566441,0.0256018005859795,-0.011183143581401,0.130980844260984,TRUE,1.32548222172313
"69","pineta.es","Grassland_Extr","Extr",-0.462970647879084,6,0.264637174148518,0.10803767393932,-0.740690330071898,-0.185250965686269,FALSE,0.266432899412607
"70","plattev.us","Grassland_NotExtreme","NotExtreme",-0.932484313628587,3,2.24425307637997,1.29572011777762,-6.50751801537578,4.6425493881186,TRUE,-0.108587940416899
"71","pneburn.br","Grassland_Extr","Extr",-0.0503775569672255,6,0.281942159383253,0.115102404577903,-0.346257707413245,0.245502593478794,TRUE,0
"72","pneunburn.br","Grassland_Extr","Extr",-1.27215565173813,6,0.394734388195971,0.161149639168304,-1.68640398700352,-0.857907316472743,FALSE,0
"73","pozos.ar","Grassland_NotExtreme","NotExtreme",0.655701405464671,3,0.321500300143618,0.185618284832463,-0.142949614461141,1.45435242539048,TRUE,-1.24514208136401
"74","purdue.us","Grassland_NotExtreme","NotExtreme",-0.380390307394597,8,0.228790400918952,0.0808896219800901,-0.571663869230891,-0.189116745558304,FALSE,-0.0933221572313728
"75","quilpie.au","Grassland_Extr","Extr",-0.568226884813694,3,0.359313461573005,0.207449723762631,-1.46081100504675,0.32435723541936,TRUE,-1.54599373987757
"76","rhijn.nl","Grassland_Extr","Extr",-0.267797929057011,3,0.116037094436153,0.0669940477086952,-0.556050051307794,0.020454193193772,TRUE,0.147126064890294
"77","riomayo.ar","Shrubland_Extr","Extr",-0.353256288639361,3,0.120154974140628,0.0693715066645639,-0.65173779115648,-0.0547747861222422,FALSE,-1.53062673200981
"78","sclaudio.ar","Grassland_NotExtreme","NotExtreme",-0.469588076721162,4,0.714734908222691,0.357367454111345,-1.60689081068646,0.667714657244134,TRUE,-0.317866403629096
"79","scruzh.us","Grassland_NotExtreme","NotExtreme",0.194079649185303,5,0.324720456084835,0.145219402698085,-0.209114050615542,0.597273348986149,TRUE,-0.213316990496474
"80","scruzl.us","Grassland_NotExtreme","NotExtreme",0.0239579534021626,5,0.217322334795746,0.0971895027264514,-0.245883365719301,0.293799272523626,TRUE,-0.444725822061467
"81","scruzm.us","Grassland_NotExtreme","NotExtreme",-0.302744962353789,5,0.463814099042,0.207423970876146,-0.878646230993555,0.273156306285977,TRUE,-0.444725822061467
"82","sedgwick.us","Grassland_Extr","Extr",-0.491675199485644,5,0.47440615743847,0.212160883395377,-1.08072824570318,0.0973778467318915,TRUE,-0.924574951461853
"83","sevblack.us","Grassland_Extr","Extr",-1.08069682468498,7,0.979949178793769,0.370385974938612,-1.98699865626015,-0.174394993109803,FALSE,-1.73160554640831
"84","sevblue.us","Grassland_Extr","Extr",-0.244453604899201,7,0.269537680941742,0.101875667533275,-0.493734383129676,0.00482717333127358,TRUE,-1.64351189276785
"85","sevmixed.us","Grassland_Extr","Extr",-0.776311124728721,7,0.522698990156896,0.197561648357107,-1.25972706342546,-0.292895186031983,FALSE,-1.76609172247948
"86","sgsdrt.us","Grassland_Extr","Extr",-2.1235646773394,20,0.936063507517366,0.209310163406572,-2.56165588418149,-1.68547347049731,FALSE,-1.13662573086633
"87","skotsvar.no","Shrubland_Extr","Extr",-0.0279375741365924,6,0.256895519929532,0.104877156839057,-0.297532888480253,0.241657740207068,TRUE,1.58986765813722
"88","slp.us","Grassland_Extr","Extr",-0.289681628825001,3,0.0719622400938321,0.0415474186896625,-0.468445743264121,-0.110917514385881,FALSE,-0.465055889521802
"89","sonora.us","Grassland_Extr","Extr",-0.488935202959265,8,0.743578892723065,0.262894838695832,-1.110582714158,0.132712308239472,TRUE,-1.00130410620111
"90","spvdrt.ar","Grassland_NotExtreme","NotExtreme",0.222035671965926,3,0.647792382230896,0.374003106259996,-1.38716981411843,1.83124115805028,TRUE,-1.58085045558219
"91","syferkuil.za","Grassland_Extr","Extr",-0.185346467669858,4,0.435201260187023,0.217600630093511,-0.87784878893836,0.507155853598643,TRUE,-0.483210456733017
"92","torla.es","Grassland_NotExtreme","NotExtreme",0.185733134479238,6,0.147148477172338,0.0600731142499679,0.0313102781781656,0.340155990780311,FALSE,0.513422249613257
"93","ukulingadrt.za","Grassland_Extr","Extr",-0.170184156536031,3,0.183601179507686,0.106002190412295,-0.626274770472915,0.285906457400853,TRUE,-0.453028525039774
"94","urat.cn","Grassland_NotExtreme","NotExtreme",-1.60517458942105,6,0.883474150785223,0.36067681172708,-2.5323238501819,-0.678025328660199,FALSE,-1.80910910756317
"95","validate.fr","Grassland_Extr","Extr",-0.633090043159137,5,0.329677652512385,0.147436328336049,-1.0424389152961,-0.223741171022178,FALSE,-0.0100503358535015
"96","wytham.uk","Grassland_Extr","Extr",-0.7632055377377,5,0.224452446749209,0.100378185729477,-1.04190006017494,-0.484511015300459,FALSE,-0.040717833278559
"97","xilin.cn","Grassland_Extr","Extr",-0.401416662450723,6,0.585155323734291,0.238888660570353,-1.01549951405236,0.212666189150915,TRUE,-0.77565960213441
"98","yanchi.cn","Grassland_NotExtreme","NotExtreme",-0.241137483284276,6,0.311695743698484,0.127249254509769,-0.568242105525349,0.0859671389567979,TRUE,-1.14948461904187
"99","yarradrt.au","Grassland_NotExtreme","NotExtreme",-0.159719531714463,4,0.237919434551774,0.118959717275887,-0.538302444436703,0.218863381007778,TRUE,-0.414001439130451
"100","youyu.cn","Grassland_NotExtreme","NotExtreme",0.12280851504321,6,0.16368264173102,0.0668231586652981,-0.0489658828216487,0.294582912908068,TRUE,-0.771973961105916
